"","zip_code","count_april2023","count_april2024","difference","pct_change","primary_city","county","estimated_population"
"188",21052,1,3,2,200,"Fort Howard","Baltimore County",0
"189",21053,8,9,1,12.5,"Freeland","Baltimore County",2820
"190",21054,20,32,12,60,"Gambrills","Anne Arundel County",9367
"191",21056,1,0,-1,-100,"Gibson Island","Anne Arundel County",0
"192",21057,7,9,2,28.5714285714286,"Glen Arm","Baltimore County",3718
"193",21060,146,192,46,31.5068493150685,"Glen Burnie","Anne Arundel County",23756
"194",21061,202,199,-3,-1.48514851485149,"Glen Burnie","Anne Arundel County",42373
"195",21071,2,3,1,50,"Glyndon","Baltimore County",492
"196",21074,34,31,-3,-8.82352941176471,"Hampstead","Carroll County",13625
"197",21075,87,108,21,24.1379310344828,"Elkridge","Howard County",21407
"198",21076,68,77,9,13.2352941176471,"Hanover","Anne Arundel County",10451
"199",21077,1,0,-1,-100,"Harmans","Anne Arundel County",0
"200",21078,75,63,-12,-16,"Havre De Grace","Harford County",14843
"201",21082,1,0,-1,-100,"Hydes","Baltimore County",825
"202",21084,23,20,-3,-13.0434782608696,"Jarrettsville","Harford County",6986
"203",21085,63,58,-5,-7.93650793650794,"Joppa","Harford County",14309
"204",21087,16,15,-1,-6.25,"Kingsville","Baltimore County",5343
"205",21090,39,39,0,0,"Linthicum Heights","Anne Arundel County",8675
"206",21093,67,74,7,10.4477611940298,"Lutherville Timonium","Baltimore County",33490
"207",21102,30,23,-7,-23.3333333333333,"Manchester","Carroll County",10360
"208",21104,4,8,4,100,"Marriottsville","Howard County",4406
"209",21108,31,40,9,29.0322580645161,"Millersville","Anne Arundel County",15559
"210",21111,12,8,-4,-33.3333333333333,"Monkton","Baltimore County",4550
"211",21113,103,116,13,12.621359223301,"Odenton","Anne Arundel County",24516
"212",21114,53,65,12,22.6415094339623,"Crofton","Anne Arundel County",21751
"213",21117,223,260,37,16.5919282511211,"Owings Mills","Baltimore County",43195
"214",21120,16,20,4,25,"Parkton","Baltimore County",6466
"215",21122,212,262,50,23.5849056603774,"Pasadena","Anne Arundel County",51804
"216",21128,33,42,9,27.2727272727273,"Perry Hall","Baltimore County",11387
"217",21130,1,1,0,0,"Perryman","Harford County",0
"218",21131,7,23,16,228.571428571429,"Phoenix","Baltimore County",6905
"219",21132,5,8,3,60,"Pylesville","Harford County",2367
"220",21133,134,135,1,0.746268656716418,"Randallstown","Baltimore County",23423
"221",21136,92,112,20,21.7391304347826,"Reisterstown","Baltimore County",28903
"222",21140,5,5,0,0,"Riva","Anne Arundel County",3133
"223",21144,124,139,15,12.0967741935484,"Severn","Anne Arundel County",27098
"224",21146,35,46,11,31.4285714285714,"Severna Park","Anne Arundel County",23707
"225",21152,6,11,5,83.3333333333333,"Sparks Glencoe","Baltimore County",4930
"226",21153,0,2,2,Inf,"Stevenson","Baltimore County",825
"227",21154,24,22,-2,-8.33333333333333,"Street","Harford County",5563
"228",21155,4,8,4,100,"Upperco","Baltimore County",2185
"229",21156,0,1,1,Inf,"Upper Falls","Baltimore County",0
"230",21157,76,86,10,13.1578947368421,"Westminster","Carroll County",30270
"231",21158,38,47,9,23.6842105263158,"Westminster","Carroll County",18082
"232",21160,9,10,1,11.1111111111111,"Whiteford","Harford County",2155
"233",21161,16,17,1,6.25,"White Hall","Baltimore County",5010
"234",21162,12,11,-1,-8.33333333333333,"White Marsh","Baltimore County",3333
"235",21163,11,11,0,0,"Woodstock","Howard County",6104
"236",21201,68,101,33,48.5294117647059,"Baltimore","Baltimore City",9628
"237",21202,97,104,7,7.21649484536082,"Baltimore","Baltimore City",10448
"238",21203,0,3,3,Inf,"Baltimore","Baltimore City",1082
"239",21204,33,49,16,48.4848484848485,"Towson","Baltimore County",12824
"240",21205,47,86,39,82.9787234042553,"Baltimore","Baltimore City",9645
"241",21206,234,317,83,35.4700854700855,"Baltimore","Baltimore City",38796
"242",21207,221,298,77,34.841628959276,"Gwynn Oak","Baltimore County",36682
"243",21208,84,121,37,44.047619047619,"Pikesville","Baltimore County",28007
"244",21209,75,74,-1,-1.33333333333333,"Baltimore","Baltimore City",20922
"245",21210,11,13,2,18.1818181818182,"Baltimore","Baltimore City",9266
"246",21211,53,66,13,24.5283018867925,"Baltimore","Baltimore City",11927
"247",21212,107,118,11,10.2803738317757,"Baltimore","Baltimore City",25043
"248",21213,156,231,75,48.0769230769231,"Baltimore","Baltimore City",22290
"249",21214,81,111,30,37.037037037037,"Baltimore","Baltimore City",15609
"250",21215,269,322,53,19.7026022304833,"Baltimore","Baltimore City",40096
"251",21216,148,199,51,34.4594594594595,"Baltimore","Baltimore City",20336
"252",21217,147,190,43,29.2517006802721,"Baltimore","Baltimore City",20560
"253",21218,183,211,28,15.3005464480874,"Baltimore","Baltimore City",30285
"254",21219,28,76,48,171.428571428571,"Sparrows Point","Baltimore County",8039
"255",21220,170,226,56,32.9411764705882,"Middle River","Baltimore County",31809
"256",21221,176,233,57,32.3863636363636,"Essex","Baltimore County",33943
"257",21222,249,359,110,44.1767068273092,"Dundalk","Baltimore County",44123
"258",21223,118,137,19,16.1016949152542,"Baltimore","Baltimore City",15504
"259",21224,139,239,100,71.9424460431655,"Baltimore","Baltimore City",33150
"260",21225,129,188,59,45.7364341085271,"Brooklyn","Anne Arundel County",22734
"261",21226,34,39,5,14.7058823529412,"Curtis Bay","Baltimore City",5435
"262",21227,113,141,28,24.7787610619469,"Halethorpe","Baltimore County",26627
"263",21228,98,131,33,33.6734693877551,"Catonsville","Baltimore County",39088
"264",21229,229,273,44,19.2139737991266,"Baltimore","Baltimore City",33786
"265",21230,117,163,46,39.3162393162393,"Baltimore","Baltimore City",23055
"266",21231,42,45,3,7.14285714285714,"Baltimore","Baltimore City",9885
"267",21234,227,281,54,23.7885462555066,"Parkville","Baltimore County",56528
"268",21236,132,142,10,7.57575757575758,"Nottingham","Baltimore County",33445
"269",21237,122,134,12,9.83606557377049,"Rosedale","Baltimore County",24396
"270",21239,125,159,34,27.2,"Baltimore","Baltimore City",22147
"271",21244,151,197,46,30.4635761589404,"Windsor Mill","Baltimore County",27753
"272",21260,2,0,-2,-100,"Baltimore","Baltimore City",0
"273",21286,47,59,12,25.531914893617,"Towson","Baltimore County",15367
"274",21401,70,77,7,10,"Annapolis","Anne Arundel County",30595
"275",21403,49,69,20,40.8163265306122,"Annapolis","Anne Arundel County",25015
"276",21405,0,1,1,Inf,"Annapolis","Anne Arundel County",555
"277",21409,29,39,10,34.4827586206897,"Annapolis","Anne Arundel County",16232
"278",21502,145,146,1,0.689655172413793,"Cumberland","Allegany County",29642
"279",21503,2,0,-2,-100,"Cumberland","Allegany County",0
"280",21520,5,9,4,80,"Accident","Garrett County",1675
"281",21521,8,3,-5,-62.5,"Barton","Allegany County",1050
"282",21522,0,1,1,Inf,"Bittinger","Garrett County",0
"283",21523,2,0,-2,-100,"Bloomington","Garrett County",0
"284",21524,2,5,3,150,"Corriganville","Allegany County",461
"285",21529,9,4,-5,-55.5555555555556,"Ellerslie","Allegany County",610
"286",21530,7,8,1,14.2857142857143,"Flintstone","Allegany County",1224
"287",21531,10,13,3,30,"Friendsville","Garrett County",1787
"288",21532,50,65,15,30,"Frostburg","Allegany County",9484
"289",21536,21,19,-2,-9.52380952380952,"Grantsville","Garrett County",3225
"290",21538,3,2,-1,-33.3333333333333,"Kitzmiller","Garrett County",543
"291",21539,11,16,5,45.4545454545455,"Lonaconing","Allegany County",2079
"292",21541,8,8,0,0,"Mc Henry","Garrett County",1345
"293",21543,1,0,-1,-100,"Midlothian","Allegany County",0
"294",21545,9,18,9,100,"Mount Savage","Allegany County",1667
"295",21550,29,59,30,103.448275862069,"Oakland","Garrett County",11196
"296",21555,8,5,-3,-37.5,"Oldtown","Allegany County",1402
"297",21557,9,8,-1,-11.1111111111111,"Rawlings","Allegany County",1524
"298",21561,10,8,-2,-20,"Swanton","Garrett County",2108
"299",21562,10,12,2,20,"Westernport","Allegany County",2374
"300",21601,53,78,25,47.1698113207547,"Easton","Talbot County",19388
"301",21610,2,1,-1,-50,"Betterton","Kent County",0
"302",21612,3,5,2,66.6666666666667,"Bozman","Talbot County",0
"303",21613,65,86,21,32.3076923076923,"Cambridge","Dorchester County",13673
"304",21617,13,20,7,53.8461538461538,"Centreville","Queen Anne's County",8123
"305",21619,17,20,3,17.6470588235294,"Chester","Queen Anne's County",5115
"306",21620,30,35,5,16.6666666666667,"Chestertown","Kent County",9594
"307",21622,1,2,1,100,"Church Creek","Dorchester County",441
"308",21623,2,6,4,200,"Church Hill","Queen Anne's County",1457
"309",21625,5,11,6,120,"Cordova","Talbot County",2130
"310",21626,0,1,1,Inf,"Crapo","Dorchester County",0
"311",21628,0,2,2,Inf,"Crumpton","Queen Anne's County",435
"312",21629,27,24,-3,-11.1111111111111,"Denton","Caroline County",7338
"313",21631,6,5,-1,-16.6666666666667,"East New Market","Dorchester County",2308
"314",21632,23,20,-3,-13.0434782608696,"Federalsburg","Caroline County",5102
"315",21634,1,2,1,100,"Fishing Creek","Dorchester County",538
"316",21635,5,9,4,80,"Galena","Kent County",1757
"317",21636,3,0,-3,-100,"Goldsboro","Caroline County",939
"318",21638,16,15,-1,-6.25,"Grasonville","Queen Anne's County",4211
"319",21639,19,9,-10,-52.6315789473684,"Greensboro","Caroline County",3629
"320",21640,4,4,0,0,"Henderson","Caroline County",1212
"321",21641,0,1,1,Inf,"Hillsboro","Caroline County",0
"322",21643,16,36,20,125,"Hurlock","Dorchester County",4935
"323",21645,3,2,-1,-33.3333333333333,"Kennedyville","Kent County",861
"324",21647,1,6,5,500,"Mcdaniel","Talbot County",0
"325",21649,2,2,0,0,"Marydel","Caroline County",1129
"326",21651,9,8,-1,-11.1111111111111,"Millington","Queen Anne's County",2324
"327",21652,0,1,1,Inf,"Neavitt","Talbot County",0
"328",21653,0,1,1,Inf,"Newcomb","Talbot County",0
"329",21654,1,2,1,100,"Oxford","Talbot County",1155
"330",21657,1,1,0,0,"Queen Anne","Queen Anne's County",1028
"331",21658,11,10,-1,-9.09090909090909,"Queenstown","Queen Anne's County",3300
"332",21659,1,0,-1,-100,"Rhodesdale","Dorchester County",806
"333",21660,12,10,-2,-16.6666666666667,"Ridgely","Caroline County",3123
"334",21661,13,14,1,7.69230769230769,"Rock Hall","Kent County",2140
"335",21662,4,3,-1,-25,"Royal Oak","Talbot County",722
"336",21663,16,17,1,6.25,"Saint Michaels","Talbot County",2855
"337",21664,1,1,0,0,"Secretary","Dorchester County",596
"338",21665,1,0,-1,-100,"Sherwood","Talbot County",0
"339",21666,18,29,11,61.1111111111111,"Stevensville","Queen Anne's County",10970
"340",21668,7,5,-2,-28.5714285714286,"Sudlersville","Queen Anne's County",1369
"341",21671,1,4,3,300,"Tilghman","Talbot County",655
"342",21672,1,1,0,0,"Toddville","Dorchester County",0
"343",21673,9,19,10,111.111111111111,"Trappe","Talbot County",2710
"344",21675,1,1,0,0,"Wingate","Dorchester County",0
"345",21676,3,4,1,33.3333333333333,"Wittman","Talbot County",0
"346",21677,1,0,-1,-100,"Woolford","Dorchester County",0
"347",21678,6,5,-1,-16.6666666666667,"Worton","Kent County",1876
"348",21679,1,3,2,200,"Wye Mills","Talbot County",500
"349",21701,89,89,0,0,"Frederick","Frederick County",28730
"350",21702,104,118,14,13.4615384615385,"Frederick","Frederick County",32205
"351",21703,90,114,24,26.6666666666667,"Frederick","Frederick County",26766
"352",21704,40,47,7,17.5,"Frederick","Frederick County",10512
"353",21710,4,8,4,100,"Adamstown","Frederick County",3830
"354",21711,2,1,-1,-50,"Big Pool","Washington County",842
"355",21713,13,21,8,61.5384615384615,"Boonsboro","Washington County",8094
"356",21714,0,1,1,Inf,"Braddock Heights","Frederick County",0
"357",21716,18,16,-2,-11.1111111111111,"Brunswick","Frederick County",4121
"358",21717,0,1,1,Inf,"Buckeystown","Frederick County",0
"359",21719,1,3,2,200,"Cascade","Washington County",1331
"360",21720,1,0,-1,-100,"Cavetown","Washington County",0
"361",21722,18,16,-2,-11.1111111111111,"Clear Spring","Washington County",5046
"362",21723,0,2,2,Inf,"Cooksville","Howard County",726
"363",21727,9,11,2,22.2222222222222,"Emmitsburg","Frederick County",3730
"364",21733,6,4,-2,-33.3333333333333,"Fairplay","Washington County",1070
"365",21734,3,3,0,0,"Funkstown","Washington County",910
"366",21737,1,2,1,100,"Glenelg","Howard County",1280
"367",21738,4,1,-3,-75,"Glenwood","Howard County",2975
"368",21740,206,192,-14,-6.79611650485437,"Hagerstown","Washington County",44548
"369",21741,1,0,-1,-100,"Hagerstown","Washington County",675
"370",21742,94,86,-8,-8.51063829787234,"Hagerstown","Washington County",25720
