"","GEOID","Place","State","year","total","yes_internet","no_internet","pct_no"
"137","2421325","Cumberland city"," Maryland","2020",8279,6398,1553,18.7583041430124
"138","2421475","Damascus CDP"," Maryland","2020",5565,5192,184,3.30637915543576
"139","2421550","Dames Quarter CDP"," Maryland","2020",38,33,5,13.1578947368421
"140","2421675","Danville CDP"," Maryland","2020",274,274,0,0
"141","2421750","Dargan CDP"," Maryland","2020",56,56,0,0
"142","2421800","Darlington CDP"," Maryland","2020",213,177,36,16.9014084507042
"143","2421825","Darnestown CDP"," Maryland","2020",2293,2277,16,0.697775839511557
"144","2421925","Dawson CDP"," Maryland","2020",30,20,10,33.3333333333333
"145","2422050","Deale CDP"," Maryland","2020",1779,1635,144,8.09443507588533
"146","2422100","Deal Island CDP"," Maryland","2020",190,114,72,37.8947368421053
"147","2422275","Deer Park town"," Maryland","2020",147,130,8,5.4421768707483
"148","2422600","Delmar town"," Maryland","2020",1282,1141,141,10.9984399375975
"149","2422725","Denton town"," Maryland","2020",1421,1301,91,6.40394088669951
"150","2422775","Derwood CDP"," Maryland","2020",640,634,6,0.9375
"151","2422825","Detmold CDP"," Maryland","2020",187,170,17,9.09090909090909
"152","2423025","District Heights city"," Maryland","2020",2039,1811,171,8.3864639529181
"153","2423500","Downsville CDP"," Maryland","2020",316,279,37,11.7088607594937
"154","2423700","Drum Point CDP"," Maryland","2020",917,885,15,1.63576881134133
"155","2423975","Dundalk CDP"," Maryland","2020",23536,19770,3369,14.3142420122366
"156","2424050","Dunkirk CDP"," Maryland","2020",715,678,37,5.17482517482518
"157","2424200","Eagle Harbor town"," Maryland","2020",36,29,7,19.4444444444444
"158","2424250","Eakles Mill CDP"," Maryland","2020",0,0,0,NA
"159","2424450","East New Market town"," Maryland","2020",134,87,46,34.3283582089552
"160","2424475","Easton town"," Maryland","2020",7387,6353,938,12.697982943008
"161","2424650","East Riverdale CDP"," Maryland","2020",4317,3554,604,13.9911975909196
"162","2424825","Eckhart Mines CDP"," Maryland","2020",216,201,15,6.94444444444444
"163","2424850","Eden CDP"," Maryland","2020",388,205,183,47.1649484536082
"164","2424925","Edesville CDP"," Maryland","2020",79,66,13,16.4556962025316
"165","2424950","Edgemere CDP"," Maryland","2020",3334,2929,335,10.0479904019196
"166","2425000","Edgemont CDP"," Maryland","2020",99,99,0,0
"167","2425050","Edgewater CDP"," Maryland","2020",3643,3466,161,4.41943453197914
