"","GEOID","Census_Tract","County","State","variable","estimate","moe","year"
"204","24005411309","Census Tract 4113.09"," Baltimore County"," Maryland","median_income",97386,10073,"2010"
"205","24005411404","Census Tract 4114.04"," Baltimore County"," Maryland","number_households",1355,76,"2010"
"206","24005411404","Census Tract 4114.04"," Baltimore County"," Maryland","median_income",86756,7313,"2010"
"207","24005411406","Census Tract 4114.06"," Baltimore County"," Maryland","number_households",1762,89,"2010"
"208","24005411406","Census Tract 4114.06"," Baltimore County"," Maryland","median_income",77742,8697,"2010"
"209","24005411407","Census Tract 4114.07"," Baltimore County"," Maryland","number_households",4270,145,"2010"
"210","24005411407","Census Tract 4114.07"," Baltimore County"," Maryland","median_income",54118,4874,"2010"
"211","24005411408","Census Tract 4114.08"," Baltimore County"," Maryland","number_households",1426,102,"2010"
"212","24005411408","Census Tract 4114.08"," Baltimore County"," Maryland","median_income",50119,13854,"2010"
"213","24005411409","Census Tract 4114.09"," Baltimore County"," Maryland","number_households",1840,68,"2010"
"214","24005411409","Census Tract 4114.09"," Baltimore County"," Maryland","median_income",89706,12223,"2010"
"215","24005411410","Census Tract 4114.10"," Baltimore County"," Maryland","number_households",1668,73,"2010"
"216","24005411410","Census Tract 4114.10"," Baltimore County"," Maryland","median_income",78468,8086,"2010"
"217","24005420100","Census Tract 4201"," Baltimore County"," Maryland","number_households",1406,46,"2010"
"218","24005420100","Census Tract 4201"," Baltimore County"," Maryland","median_income",58012,6274,"2010"
"219","24005420200","Census Tract 4202"," Baltimore County"," Maryland","number_households",1147,46,"2010"
"220","24005420200","Census Tract 4202"," Baltimore County"," Maryland","median_income",42518,7622,"2010"
"221","24005420301","Census Tract 4203.01"," Baltimore County"," Maryland","number_households",961,78,"2010"
"222","24005420301","Census Tract 4203.01"," Baltimore County"," Maryland","median_income",42474,6699,"2010"
"223","24005420302","Census Tract 4203.02"," Baltimore County"," Maryland","number_households",970,59,"2010"
"224","24005420302","Census Tract 4203.02"," Baltimore County"," Maryland","median_income",60705,13443,"2010"
"225","24005420303","Census Tract 4203.03"," Baltimore County"," Maryland","number_households",551,35,"2010"
"226","24005420303","Census Tract 4203.03"," Baltimore County"," Maryland","median_income",53229,12434,"2010"
"227","24005420401","Census Tract 4204.01"," Baltimore County"," Maryland","number_households",2185,78,"2010"
"228","24005420401","Census Tract 4204.01"," Baltimore County"," Maryland","median_income",55847,3831,"2010"
"229","24005420402","Census Tract 4204.02"," Baltimore County"," Maryland","number_households",840,16,"2010"
"230","24005420402","Census Tract 4204.02"," Baltimore County"," Maryland","median_income",50636,5606,"2010"
"231","24005420500","Census Tract 4205"," Baltimore County"," Maryland","number_households",1394,101,"2010"
"232","24005420500","Census Tract 4205"," Baltimore County"," Maryland","median_income",55064,8628,"2010"
"233","24005420600","Census Tract 4206"," Baltimore County"," Maryland","number_households",1409,97,"2010"
"234","24005420600","Census Tract 4206"," Baltimore County"," Maryland","median_income",53110,10209,"2010"
"235","24005420701","Census Tract 4207.01"," Baltimore County"," Maryland","number_households",1271,29,"2010"
"236","24005420701","Census Tract 4207.01"," Baltimore County"," Maryland","median_income",36671,6096,"2010"
"237","24005420702","Census Tract 4207.02"," Baltimore County"," Maryland","number_households",854,48,"2010"
"238","24005420702","Census Tract 4207.02"," Baltimore County"," Maryland","median_income",61333,12553,"2010"
"239","24005420800","Census Tract 4208"," Baltimore County"," Maryland","number_households",1355,82,"2010"
"240","24005420800","Census Tract 4208"," Baltimore County"," Maryland","median_income",55685,9874,"2010"
"241","24005420900","Census Tract 4209"," Baltimore County"," Maryland","number_households",1525,112,"2010"
"242","24005420900","Census Tract 4209"," Baltimore County"," Maryland","median_income",35393,10814,"2010"
"243","24005421000","Census Tract 4210"," Baltimore County"," Maryland","number_households",962,79,"2010"
"244","24005421000","Census Tract 4210"," Baltimore County"," Maryland","median_income",17683,5605,"2010"
"245","24005421101","Census Tract 4211.01"," Baltimore County"," Maryland","number_households",1300,115,"2010"
"246","24005421101","Census Tract 4211.01"," Baltimore County"," Maryland","median_income",36528,1808,"2010"
"247","24005421102","Census Tract 4211.02"," Baltimore County"," Maryland","number_households",957,62,"2010"
"248","24005421102","Census Tract 4211.02"," Baltimore County"," Maryland","median_income",48173,10514,"2010"
"249","24005421200","Census Tract 4212"," Baltimore County"," Maryland","number_households",757,56,"2010"
"250","24005421200","Census Tract 4212"," Baltimore County"," Maryland","median_income",41910,10304,"2010"
"251","24005421300","Census Tract 4213"," Baltimore County"," Maryland","number_households",1123,124,"2010"
"252","24005421300","Census Tract 4213"," Baltimore County"," Maryland","median_income",37599,7493,"2010"
"253","24005430101","Census Tract 4301.01"," Baltimore County"," Maryland","number_households",1626,82,"2010"
"254","24005430101","Census Tract 4301.01"," Baltimore County"," Maryland","median_income",39808,9680,"2010"
"255","24005430104","Census Tract 4301.04"," Baltimore County"," Maryland","number_households",929,79,"2010"
"256","24005430104","Census Tract 4301.04"," Baltimore County"," Maryland","median_income",55647,5365,"2010"
"257","24005430200","Census Tract 4302"," Baltimore County"," Maryland","number_households",1144,62,"2010"
"258","24005430200","Census Tract 4302"," Baltimore County"," Maryland","median_income",47212,12205,"2010"
"259","24005430300","Census Tract 4303"," Baltimore County"," Maryland","number_households",2063,103,"2010"
"260","24005430300","Census Tract 4303"," Baltimore County"," Maryland","median_income",39309,4324,"2010"
"261","24005430400","Census Tract 4304"," Baltimore County"," Maryland","number_households",1610,90,"2010"
"262","24005430400","Census Tract 4304"," Baltimore County"," Maryland","median_income",60968,8368,"2010"
"263","24005430600","Census Tract 4306"," Baltimore County"," Maryland","number_households",915,35,"2010"
"264","24005430600","Census Tract 4306"," Baltimore County"," Maryland","median_income",69279,11892,"2010"
"265","24005430700","Census Tract 4307"," Baltimore County"," Maryland","number_households",1978,114,"2010"
"266","24005430700","Census Tract 4307"," Baltimore County"," Maryland","median_income",66667,16394,"2010"
"267","24005430800","Census Tract 4308"," Baltimore County"," Maryland","number_households",1473,73,"2010"
"268","24005430800","Census Tract 4308"," Baltimore County"," Maryland","median_income",58750,7212,"2010"
