"","GEOID","Census_Tract","County","State","variable","estimate","moe","year"
"7826","24033804801","Census Tract 8048.01"," Prince George's County"," Maryland","median_income",51588,5978,"2020"
"7827","24033804802","Census Tract 8048.02"," Prince George's County"," Maryland","number_households",1161,151,"2020"
"7828","24033804802","Census Tract 8048.02"," Prince George's County"," Maryland","median_income",69442,10135,"2020"
"7829","24033804900","Census Tract 8049"," Prince George's County"," Maryland","number_households",1328,137,"2020"
"7830","24033804900","Census Tract 8049"," Prince George's County"," Maryland","median_income",58788,10215,"2020"
"7831","24033805000","Census Tract 8050"," Prince George's County"," Maryland","number_households",2063,261,"2020"
"7832","24033805000","Census Tract 8050"," Prince George's County"," Maryland","median_income",56090,8077,"2020"
"7833","24033805101","Census Tract 8051.01"," Prince George's County"," Maryland","number_households",1220,200,"2020"
"7834","24033805101","Census Tract 8051.01"," Prince George's County"," Maryland","median_income",64500,12815,"2020"
"7835","24033805201","Census Tract 8052.01"," Prince George's County"," Maryland","number_households",1267,192,"2020"
"7836","24033805201","Census Tract 8052.01"," Prince George's County"," Maryland","median_income",53573,3067,"2020"
"7837","24033805202","Census Tract 8052.02"," Prince George's County"," Maryland","number_households",1102,150,"2020"
"7838","24033805202","Census Tract 8052.02"," Prince George's County"," Maryland","median_income",53621,10717,"2020"
"7839","24033805500","Census Tract 8055"," Prince George's County"," Maryland","number_households",1019,158,"2020"
"7840","24033805500","Census Tract 8055"," Prince George's County"," Maryland","median_income",50121,22488,"2020"
"7841","24033805601","Census Tract 8056.01"," Prince George's County"," Maryland","number_households",1570,287,"2020"
"7842","24033805601","Census Tract 8056.01"," Prince George's County"," Maryland","median_income",57188,21918,"2020"
"7843","24033805602","Census Tract 8056.02"," Prince George's County"," Maryland","number_households",1202,208,"2020"
"7844","24033805602","Census Tract 8056.02"," Prince George's County"," Maryland","median_income",68398,12159,"2020"
"7845","24033805700","Census Tract 8057"," Prince George's County"," Maryland","number_households",1560,134,"2020"
"7846","24033805700","Census Tract 8057"," Prince George's County"," Maryland","median_income",67875,16739,"2020"
"7847","24033805801","Census Tract 8058.01"," Prince George's County"," Maryland","number_households",914,114,"2020"
"7848","24033805801","Census Tract 8058.01"," Prince George's County"," Maryland","median_income",74839,14732,"2020"
"7849","24033805802","Census Tract 8058.02"," Prince George's County"," Maryland","number_households",1031,149,"2020"
"7850","24033805802","Census Tract 8058.02"," Prince George's County"," Maryland","median_income",81172,16335,"2020"
"7851","24033805904","Census Tract 8059.04"," Prince George's County"," Maryland","number_households",870,76,"2020"
"7852","24033805904","Census Tract 8059.04"," Prince George's County"," Maryland","median_income",91607,11682,"2020"
"7853","24033805906","Census Tract 8059.06"," Prince George's County"," Maryland","number_households",1220,166,"2020"
"7854","24033805906","Census Tract 8059.06"," Prince George's County"," Maryland","median_income",59940,10337,"2020"
"7855","24033805907","Census Tract 8059.07"," Prince George's County"," Maryland","number_households",1198,168,"2020"
"7856","24033805907","Census Tract 8059.07"," Prince George's County"," Maryland","median_income",56038,9628,"2020"
"7857","24033805908","Census Tract 8059.08"," Prince George's County"," Maryland","number_households",866,138,"2020"
"7858","24033805908","Census Tract 8059.08"," Prince George's County"," Maryland","median_income",67586,13367,"2020"
"7859","24033805909","Census Tract 8059.09"," Prince George's County"," Maryland","number_households",1947,256,"2020"
"7860","24033805909","Census Tract 8059.09"," Prince George's County"," Maryland","median_income",69077,18636,"2020"
"7861","24033806000","Census Tract 8060"," Prince George's County"," Maryland","number_households",1786,280,"2020"
"7862","24033806000","Census Tract 8060"," Prince George's County"," Maryland","median_income",76367,8048,"2020"
"7863","24033806100","Census Tract 8061"," Prince George's County"," Maryland","number_households",1313,161,"2020"
"7864","24033806100","Census Tract 8061"," Prince George's County"," Maryland","median_income",95362,11589,"2020"
"7865","24033806400","Census Tract 8064"," Prince George's County"," Maryland","number_households",1518,172,"2020"
"7866","24033806400","Census Tract 8064"," Prince George's County"," Maryland","median_income",116575,9209,"2020"
"7867","24033806501","Census Tract 8065.01"," Prince George's County"," Maryland","number_households",1539,175,"2020"
"7868","24033806501","Census Tract 8065.01"," Prince George's County"," Maryland","median_income",76760,11637,"2020"
"7869","24033806601","Census Tract 8066.01"," Prince George's County"," Maryland","number_households",1366,217,"2020"
"7870","24033806601","Census Tract 8066.01"," Prince George's County"," Maryland","median_income",79949,18460,"2020"
"7871","24033806602","Census Tract 8066.02"," Prince George's County"," Maryland","number_households",1258,115,"2020"
"7872","24033806602","Census Tract 8066.02"," Prince George's County"," Maryland","median_income",74138,14511,"2020"
