County,County Name,Election District - Precinct,Congressional,Legislative,Office Name,Office District,Candidate Name,Party,Winner,Write-In?,Early Votes,Early Votes Against,Election Night Votes,Election Night Votes Against,Mail-In Ballot 1 Votes,Mail-In Ballot 1 Votes Against,Provisional Votes,Provisional Votes Against,Mail-In Ballot 2 Votes,Mail-In Ballot 2 Votes Against 
3,Baltimore City,001-004,7,46,U.S. Senator,,Scottie Griffin,DEM,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-004,7,46,U.S. Senator,,Andrew J. Wildman,UNA,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-004,7,46,U.S. Senator,,Other Write-Ins,,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-004,7,46,U.S. Congress,7,Scott M. Collier,REP,,,39,,144,,27,,10,,13, 
3,Baltimore City,001-004,7,46,U.S. Congress,7,Kweisi Mfume,DEM,Y,,111,,414,,191,,56,,98, 
3,Baltimore City,001-004,7,46,U.S. Congress,7,Other Write-Ins,,,Y,0,,1,,0,,0,,0, 
3,Baltimore City,001-004,7,46,State Senator,46,Emmanuel Digman,REP,,,36,,128,,20,,7,,12, 
3,Baltimore City,001-004,7,46,State Senator,46,Bill Ferguson,DEM,Y,,117,,431,,201,,57,,101, 
3,Baltimore City,001-004,7,46,State Senator,46,Other Write-Ins,,,Y,0,,1,,1,,0,,0, 
3,Baltimore City,001-004,7,46,House of Delegates,46,Pete Waters,REP,,,37,,158,,25,,9,,13, 
3,Baltimore City,001-004,7,46,House of Delegates,46,Luke Clippinger,DEM,Y,,112,,359,,176,,50,,90, 
3,Baltimore City,001-004,7,46,House of Delegates,46,Mark Edelson,DEM,Y,,120,,394,,186,,52,,93, 
3,Baltimore City,001-004,7,46,House of Delegates,46,Robbyn Lewis,DEM,Y,,103,,374,,178,,53,,87, 
3,Baltimore City,001-004,7,46,House of Delegates,46,Other Write-Ins,,,Y,0,,3,,3,,0,,2, 
